,name,prepayment_amount,body,issue_year,color,drive_unit,eng_capacity,mileage,condition,fuel_type,cleared,transmission,published_time,city,price,views,link,description,year,car_name,model
2337,"Toyota Belta, 2008",20700,Хэтчбек,2008,Белый,Передний,1.3,89000,С пробегом,Бензин,Да,Автомат,2023-03-07 15:32:00,Душанбе,69000,33,https://somon.tj/adv/9405053_toyota-belta-2008/,Вагон. Мошин дар беҳтарин ҳалат қарор дорад. Шишаҳош сафед кардагиянд. Ҳама наварота дорад. Савдо дар пеши мошин.,2008,Toyota,Belta
2338,"Toyota Camry, 2008",34500,Седан,2008,Белый,Передний,2.4,1234,С пробегом,Бензин,Да,Автомат,2023-03-07 15:36:00,Душанбе,115000,115,https://somon.tj/adv/9360840_toyota-camry-2008/,Японка,2008,Toyota,Camry
2339,"Toyota Camry, 2010",48000,Седан,2010,Белый,Передний,2.5,110000,Новая,Бензин,Да,Автомат,2023-03-07 15:10:00,Худжанд,160000,196,https://somon.tj/adv/9573381_toyota-camry-2010/,Машина в идеальном состоянии. Вагон! Америка. Все навороты имеются.,2010,Toyota,Camry
2340,"Toyota Camry, 2011",43500,Седан,2011,Зелёный,Передний,2.4,0,С пробегом,Гибрид,Да,Автомат,2023-03-07 15:12:00,Душанбе,145000,167,https://somon.tj/adv/9279558_toyota-camry-2011/,вагон,2011,Toyota,Camry
2341,"Toyota Camry, 2012",34500,Седан,2012,Красный,Передний,2.5,130000,С пробегом,Бензин,Да,Автомат,2023-03-07 15:36:00,Душанбе,115000,238,https://somon.tj/adv/9573527_toyota-camry-2012/,Мошин дар холати хуб карор дорад дакументош яак сола ….,2012,Toyota,Camry
2342,"Toyota Camry, 2014",46500,Седан,2014,Белый,Передний,2.5,2211,С пробегом,Гибрид,Да,Автомат,2023-03-07 15:14:00,Душанбе,155000,302,https://somon.tj/adv/9540856_toyota-camry-2014/,Вагоны срочно нархи Грузия нозада винкодша бинен,2014,Toyota,Camry
2343,"Toyota Camry, 2015",0,Седан,2015,Чёрный,Передний,2.5,12345,С пробегом,Бензин,Да,Автомат,2023-03-07 15:46:00,Душанбе,267000,135,https://somon.tj/adv/9495363_toyota-camry-2015/,"Camry - 5, Европейка,Полная комплектация (фулл), без никаких вложении, в отличном состоянии (Супер).",2015,Toyota,Camry
2344,"Toyota Corolla, 2006",20250,Седан,2006,Белый,Передний,1.8,12345,С пробегом,Бензин + газ,Да,Автомат,2023-03-07 15:15:00,Душанбе,67500,377,https://somon.tj/adv/9573430_toyota-corolla-2006/,Мошин дар холати хуби техникӣ карор дорад.,2006,Toyota,Corolla
2345,"Toyota Corolla, 2007",0,Седан,2007,Белый,Передний,1.5,43400,С пробегом,Бензин,Да,Механика,2023-03-07 15:14:00,Джалолиддина Балхи (Руми),95000,131,https://somon.tj/adv/9573288_toyota-corolla-2007/,Мошинча дар холати хуб карор дорад матор каропка хадавой 100 фоизай хучатош як сола... Срочно,2007,Toyota,Corolla
2346,"Toyota Fielder, 2007",28800,Универсал,2007,Белый,Передний,1.8,12345,С пробегом,Бензин,Да,Автомат,2023-03-07 15:13:00,Душанбе,96000,64,https://somon.tj/adv/9550363_toyota-fielder-2007/,"Вагон....
SKa  .... кругавой шарлота дора завадской  ...
Маьлумоти бештар бо тел ...",2007,Toyota,Fielder
2347,"Toyota RAV 4, 2019",0,Кроссовер,2019,Чёрный,Полный,2.5,0,Новая,Бензин,Да,Автомат,2023-03-04 16:07:00,Душанбе,447000,328,https://somon.tj/adv/9557439_toyota-rav-4-2019/,"Продаётся авто: 
📍Марка:.....................RAF 4 
📍Растаможен:...........да
📍Каробка пер:...........автомат 
📍Пробег:....................c пробегом 
📍Год выпус:...............2019
📍Кузов:.......................крассовер 
📍Вид топлева:...........бензин 
📍Объем двиг:............2.5  л 
📍 Привод....................Полный
📍 Цвет:........................чёрный 

УВАЖАЕМЫЕ ПОКУПАТЕЛИ ОБМЕН НА ДРУГИЕ АВТОМОБИЛИ НЕ РАССМАТРИВАЕМ!! 

Toyota RAF 4, 2019 годa в отличном состоянии, ухоженный салон. Автомобиль Вагон, Европа. 

 Торг возможен только при осмотре автомобиля! 

Для получения дополнительной информации позвоните по указанным номерам.",2019,Toyota,RAV 4
2348,"Toyota Verso, 2010",40200,Минивен,2010,Белый,Передний,1.8,12345,С пробегом,Бензин,Да,Механика,2023-03-05 12:44:00,Душанбе,134000,584,https://somon.tj/adv/9466613_toyota-verso-2010/,"Мошин Вагон Германия, парктроник пеш кафо, панорама, 7 чои нишаст, дар холати хуб! ""Торг мешад",2010,Toyota,Verso
2349,"Toyota Yaris, 2017",42000,Универсал,2017,Белый,Полный,1.5,70000,С пробегом,Бензин,Да,Автомат,2023-03-07 15:21:00,Душанбе,140000,901,https://somon.tj/adv/9402096_toyota-yaris-2017/,Ягон праблема надора мешини ҳай мекни расход траса 5 летр даруни шаҳр 6 и 7 литр мошини навай алиш намешава нанависен барой алиш кадан тока фурухта мешава,2017,Toyota,Yaris
2350,"Volkswagen Golf, 2011",26700,Хэтчбек,2011,Белый,Передний,2.0,252000,С пробегом,Дизель,Да,Автомат,2023-03-07 15:12:00,Худжанд,89000,126,https://somon.tj/adv/9443875_volkswagen-golf-2011/,"Мошин зур ягон кораш нест
Мотор зверь 💯
Ходовой 💯
Кузов не битая 💯
Шины новые 💯
Техосмотр 7 мах
Салон чистый ухоженный
Расход 7-8 литр
Обогрев сидений 
Парктронник
Сенсорный дисплей  
Задняя камера
Bluetooth 
Подробности по телефону 📲 звонить 📞 в любое время суток",2011,Volkswagen,Golf
2351,"ВАЗ 2101, 1979",0,Седан,1979,Зелёный,Задний,1.1,0,С пробегом,Бензин,Да,Механика,2023-03-07 15:10:00,Душанбе,6000,299,https://somon.tj/adv/9573407_vaz-2101-1979/,"СРОЧНО СРОЧНО пул даркор.Мошин срочно фрухта мешавад. 
Акомулятрш навай краскаш завадскои хдш, документош 4 мохи дига.
Илтимос бехуда занг назанед.",1979,ВАЗ,2101
2352,"ВАЗ 2106, 1989",0,Универсал,1989,Другой цвет,Передний,1.2,1234,С пробегом,Газ,Да,Механика,2023-03-07 15:37:00,Худжанд,12000,1734,https://somon.tj/adv/9099031_vaz-2106-1989/,Мошин дар холати хуб,1989,ВАЗ,2106
2353,"ВАЗ 2107, 2001",0,Седан,2001,Белый,Задний,1.5,123456,Ретро,Бензин,Да,Механика,2023-03-07 15:14:00,Ашт,25500,97,https://somon.tj/adv/9573287_vaz-2107-2001/,рулаш гидравлика,2001,ВАЗ,2107
2354,"УАЗ 31512, 2004",13500,Внедорожник,2004,Голубой,Полный,2.7,96000,С пробегом,Бензин,Да,Механика,2023-03-07 15:23:00,Душанбе,45000,172,https://somon.tj/adv/9573462_uaz-31512-2004/,уаз 31512 в хорошем состоянии  двигателя 2.7 мошин ягон айб надора   мотор сотка каробка сотка мосто венгерски бо савдо мешава,2004,УАЗ,31512
2355,"УАЗ Hunter, 1993",0,Кроссовер,1993,Чёрный,Полный,2.0,256652,С пробегом,Дизель,Да,Механика,2023-03-07 15:45:00,Деваштич (Ганчи),13000,369,https://somon.tj/adv/9486577_uaz-hunter-1993/,дар холати хуб матор каропка мерсадес срочна,1993,УАЗ,Hunter
2356,"BMW 3 series, 2004",0,Седан,2004,Чёрный,Задний,1.8,1234,С пробегом,Бензин,Да,Механика,2023-03-07 14:48:00,Яван,65000,169,https://somon.tj/adv/9573277_bmw-3-series-2004/,"Документы
2024 08",2004,BMW,3 series
2357,"BMW 3 series, 2017",58500,Седан,2017,Белый,Задний,2.0,11111,С пробегом,Бензин,Да,Автомат,2023-03-07 15:09:00,Душанбе,195000,829,https://somon.tj/adv/9336807_bmw-3-series-2017/,АСАЛОМУ АЛЕЙКУМ БАРОДАРОИ МЕХРУБОН АЗ ШУМО ХОХИШ МЕКУНЕМ КИ ХАРИДОРОИ АНИК ЗАНГ ЗАНЕД БЕХУДА НОРОХАТ НАКНЕН САВДО ДАР ПЕШИ МОШИН. ЛУБОЙ УСТО МАРХАМАТ БАРЕН НИШОН ДИХЕДУ НЕКЕМ ПРОСТА ЗАНГ НАЗАНЕН,2017,BMW,3 series
2358,"BMW 5 series, 2009",37500,Седан,2009,Чёрный,Задний,2.0,0,Новая,Дизель,Да,Автомат,2023-03-07 14:51:00,Душанбе,125000,82,https://somon.tj/adv/8989106_bmw-5-series-2009/,Мошин дар холати бехтарин карор дорад матор новый пакаленый хадавой 100% матор 100% каробка 100%,2009,BMW,5 series
2359,"BMW 5 series, 2010",39000,Седан,2010,Чёрный,Задний,2.3,0,С пробегом,Бензин,Да,Автомат,2023-03-07 14:51:00,Худжанд,130000,916,https://somon.tj/adv/9398499_bmw-5-series-2010/,"праблем не имеет , ресталинг номери сохиби мошин 920066407",2010,BMW,5 series
2360,"BMW X5 M, 2012",0,Внедорожник,2012,Белый,Полный,4.0,12345,С пробегом,Дизель,Да,Автомат,2023-03-07 13:29:00,Душанбе,255000,229,https://somon.tj/adv/9572625_bmw-x5-m-2012/,"Европа!! 2011.10
мошин full-ай ягон камбуди надора
дарош мекаша
галограмма
5 камерага
4 диска балон нав
расход-10л
хучатош 9 мохи дига
хуллас мошин fullай",2012,BMW,X5 M
2361,"BMW X6, 2022",0,Универсал,2022,Мокрый асфальт,Полный,4.0,0,Новая,Бензин,Да,Автомат,2023-03-07 14:59:00,Душанбе,1155000,133,https://somon.tj/adv/9308080_bmw-x6-2022/,Ай Европа овардагием нав,2022,BMW,X6
2362,"BMW X7, 2020",0,Кроссовер,2020,Чёрный,Полный,4.0,35000,С пробегом,Бензин,Да,Автомат,2023-03-04 13:42:00,Душанбе,1200000,511,https://somon.tj/adv/9556558_bmw-x7-2020/,"BMW x7m xdrive 2020 
чёрный салон
присоска дверей
понорама
хрустальный скорс джойстик
3 ряда сиденя 
запаска
новыйе шины
колонки  Harman kardon",2020,BMW,X7
2363,"Chevrolet Lacetti, 2004",8100,Седан,2004,Белый,Передний,1.6,185000,С пробегом,Бензин + газ,Да,Автомат,2023-03-07 14:43:00,Худжанд,27000,243,https://somon.tj/adv/9573241_chevrolet-lacetti-2004/,мотор и ходовой отлични,2004,Chevrolet,Lacetti
2364,"Chrysler 300C, 2005",25500,Универсал,2005,Белый,Задний,5.7,19890,С пробегом,Бензин,Да,Автомат,2023-03-07 14:57:00,Бохтар (Курган-Тюбе),85000,378,https://somon.tj/adv/9573333_chrysler-300c-2005/,Дакумент танировка дора сатаяниш тенчай пул даркорай срочна мефурушем  харидор боши бо чакчак мекунем.,2005,Chrysler,300C
2365,"Daewoo Matiz, 1998",0,Хэтчбек,1998,Золотистый,Передний,0.8,123456,С пробегом,Бензин + газ,Да,Механика,2023-03-07 14:37:00,Худжанд,20000,98,https://somon.tj/adv/9567899_daewoo-matiz-1998/,"Мошина Занак хай кадаги эхтиёт кадаги Мошин нагз тоза!!!
Кузов зур тостаги задаги не. 
Матор Каробка нагз...
Техосмотр холи холи хай.
Ойнахош электра...
Дарош центр замок...
Расход 10л газ 110км мегардад аник Бензин-Газ хамаш кор мекунад...
Сабаби фуруш барои Механика
будагиш..Автомат мегирем...
Илтимос бехуда занг назанед...
Харидорои аник тел кунид гап мезаним...",1998,Daewoo,Matiz
2366,"Daewoo Matiz, 2001",9600,Седан,2001,Серебристый,Передний,1.1,13000,С пробегом,Бензин,Да,Автомат,2023-03-07 14:49:00,Вахдат,32000,765,https://somon.tj/adv/9481133_daewoo-matiz-2001/,Мошин тайёрай срочна кандисанер 4 чорта электра пакет хамаш нав кардагия,2001,Daewoo,Matiz
2367,"Daewoo Matiz, 2004",10500,Седан,2004,Белый,Передний,1.2,12345,С пробегом,Бензин,Да,Автомат,2023-03-07 14:54:00,Худжанд,35000,87,https://somon.tj/adv/9573302_daewoo-matiz-2004/,в отличном состоянии. доп номер,2004,Daewoo,Matiz
2368,"Daewoo Nexia, 1996",0,Седан,1996,Белый,Передний,1.6,123456,С пробегом,Бензин + газ,Да,Механика,2023-03-07 14:44:00,Худжанд,18500,343,https://somon.tj/adv/9573251_daewoo-nexia-1996/,Мошин дар ҳолати хуб карор дорад мошин полный шумка шдаги потолок сиё фар ксенон бо муомила мешад тех нест,1996,Daewoo,Nexia
2369,"Daewoo Tico, 1996",0,Хэтчбек,1996,Белый,Передний,0.8,1245,С пробегом,Бензин + газ,Да,Механика,2023-03-07 14:57:00,Турсунзаде,13000,184,https://somon.tj/adv/9573331_daewoo-tico-1996/,мошин дархолати хуб матор каробка 100 акумлатор надора балонош нармални алишхам мешава некси кати бо момила дорад,1996,Daewoo,Tico
2370,"Hyundai Avante, 2008",20700,Седан,2008,Серебристый,Передний,1.6,0,С пробегом,Бензин,Да,Автомат,2023-03-07 14:47:00,Душанбе,69000,266,https://somon.tj/adv/9533116_hyundai-avante-2008/,Мошин берун кор дорад матор каробка хадавой хучат як сола ай вагон 3 мох шид гирифтагимона,2008,Hyundai,Avante
2371,"Hyundai Solaris, 2014",21000,Седан,2014,Белый,Передний,1.6,0,С пробегом,Бензин + газ,Да,Механика,2023-03-07 15:05:00,Душанбе,70000,176,https://somon.tj/adv/9573372_hyundai-solaris-2014/,Мошин дар холати бехтарин карор дорад Алишам мешава,2014,Hyundai,Solaris
2372,"Hyundai Sonata, 2007",0,Седан,2007,Белый,Передний,2.4,0,С пробегом,Бензин + газ,Да,Механика,2023-03-07 14:45:00,Дангара,50000,117,https://somon.tj/adv/9573256_hyundai-sonata-2007/,мошин нармални кираскаш сарапина надора нав кираска шидагияй савдо дар назди мошин мумила дора канкиредна   дар назди мошин,2007,Hyundai,Sonata
2373,"Hyundai Sonata, 2010",30000,Седан,2010,Чёрный,Передний,2.0,12345,Новая,Бензин,Да,Автомат,2023-03-07 14:54:00,Худжанд,100000,273,https://somon.tj/adv/9552744_hyundai-sonata-2010/,ВАГОН ! мошин дар ҳолати беҳтарин қарор дорад,2010,Hyundai,Sonata
2374,"Hyundai Sonata, 2013",29700,Седан,2013,Белый,Передний,2.0,153000,С пробегом,Бензин,Да,Автомат,2023-03-07 14:57:00,Душанбе,99000,175,https://somon.tj/adv/9307968_hyundai-sonata-2013/,Мошин бе камбуди! Американка.Хуччат дорад!,2013,Hyundai,Sonata
2375,"Hyundai Starex, 2000",17100,Минивен,2000,Мокрый асфальт,Задний,3.0,1234,С пробегом,Газ,Да,Механика,2023-03-07 14:46:00,Душанбе,57000,108,https://somon.tj/adv/9376063_hyundai-starex-2000/,"Мошин дар холати хуби техники карор дорад.
Матор вагонни нав мондагияй холи 500 км нагаштай, ягон болтш кшодаги нест гарантияш кати.
Каробка, задни мост хама 💯
Start-stop 
савдо да пеши мошин
📞985.43.43.69",2000,Hyundai,Starex
2376,"Kia K series, 2011",32400,Седан,2011,Чёрный,Передний,2.0,125566,С пробегом,Бензин,Да,Автомат,2023-03-07 14:45:00,Душанбе,108000,53,https://somon.tj/adv/9532665_kia-k-series-2011/,Мошин дар холати Бехтарин карор дорад 5 мох пеш аз вагон гирифтагии маълумоти пура занг зане....,2011,Kia,K series
2377,"Kia Optima, 2013",31500,Седан,2013,Серебристый,Передний,2.0,0,С пробегом,Бензин,Да,Автомат,2023-03-07 14:44:00,Душанбе,105000,147,https://somon.tj/adv/9573247_kia-optima-2013/,авто в хорошем состоянии,2013,Kia,Optima
2378,"Lexus ES series, 2017",0,Седан,2017,Коричневый,Передний,2.5,45000,С пробегом,Бензин,Да,Автомат,2023-03-07 14:59:00,Душанбе,370000,67,https://somon.tj/adv/8413675_lexus-es-series-2017/,"Фулл комплектация,  супер отличном состоянии",2017,Lexus,ES series
2379,"Lexus IS series, 2007",26400,Седан,2007,Чёрный,Передний,2.5,1,Новая,Бензин,Да,Автомат,2023-03-07 14:37:00,Душанбе,88000,257,https://somon.tj/adv/9573195_lexus-is-series-2007/,"Вагон
Срочна мошин нав омадай зури бадай харидори аник занг зана камтар савдо мешава",2007,Lexus,IS series
2380,"Lexus LX series, 2019",0,Внедорожник,2019,Чёрный,Полный,5.7,50000,С пробегом,Бензин,Да,Автомат,2023-03-07 16:26:00,Душанбе,990000,207,https://somon.tj/adv/9559648_lexus-lx-series-2019/,"Срочно Срочно
Европа
Мошин дар ҳолати хуби хуби техники қарор дорад
Салон сиёҳ
4-балон нав
Савдо дар назди мошин
Биен ҳама намуди проверкара кнен
Илтимос беҳуда занг назанен
Вариантои алиша мебинем",2019,Lexus,LX series
2381,"Lexus RX series, 2006",27000,Кроссовер,2006,Чёрный,Передний,3.3,0,С пробегом,Бензин + газ,Да,Автомат,2023-03-07 15:04:00,Душанбе,90000,379,https://somon.tj/adv/9316148_lexus-rx-series-2006/,Срочно:Дига арзон намешава!!! Америка.Кожани Салон Акумулятор пачка Мошин дар ш.Бохтар(Қургонтеппа) мебошад илтимос канкретни мошинхаро занг бзана менавистагиё нанависен!,2006,Lexus,RX series
