,name,prepayment_amount,body,issue_year,color,drive_unit,eng_capacity,mileage,condition,fuel_type,cleared,transmission,published_time,city,price,views,link,description,year,car_name,model
0,"BMW 7 series, 2018",0,Седан,2018,Чёрный,Полный,5.0,77000,С пробегом,Бензин,Да,Автомат,2023-03-08 18:32:00,Душанбе,550000,2022,https://somon.tj/adv/9339378_bmw-7-series-2018/,Мошин Корейский состоянии зур.Полный фулл комплектация,2018,BMW,7 series
1,"BMW Gran Turismo, 2018",0,Седан,2018,Чёрный,Задний,3.0,100,С пробегом,Дизель,Да,Автомат,2023-03-08 18:56:00,Душанбе,470000,1148,https://somon.tj/adv/9108321_bmw-gran-turismo-2018/,Bmw 630M GT в отличном состоянии,2018,BMW,Gran Turismo
2,"BMW X5, 2011",64500,Внедорожник,2011,Чёрный,Полный,3.0,145000,С пробегом,Дизель,Да,Автомат,2023-03-08 18:46:00,Душанбе,215000,38,https://somon.tj/adv/9579439_bmw-x5-2011/,"Мошин дар холати хубай
10 мох танировка хучат 
Ходовой созай
Балоно нав 
Акамулятор нав пачка
Алиш ба ягон лексус е камри 
Усто биерен бинен ба мошина савдо кнен",2011,BMW,X5
3,"BYD Yuan Plus, 2022",0,Кроссовер,2022,Белый,Передний,1.6,300,Новая,Электричество,Да,Автомат,2023-03-08 18:41:00,Душанбе,275000,18,https://somon.tj/adv/9579419_byd-yuan-plus-2022/,электромобиль,2022,BYD,Yuan Plus
4,"BYD, 2022",0,Седан,2022,Белый,Передний,1.6,300,Новая,Электричество,Да,Автомат,2023-03-08 18:37:00,Душанбе,275000,13,https://somon.tj/adv/9579391_byd-drugie-modeli-2022/,электромобиль,2022,BYD,
5,"Chevrolet Epica, 2010",0,Седан,2010,Чёрный,Передний,2.4,121000,С пробегом,Бензин,Да,Автомат,2023-03-05 09:43:00,Худжанд,65000,50740,https://somon.tj/adv/8308735_chevrolet-epica-2010/,Автомат. Кожанний салон. Кондиционер. Монитор. Обогрев сидений. Парктроник.,2010,Chevrolet,Epica
6,"Chevrolet Lacetti, 2005",9600,Седан,2005,Серебристый,Передний,1.8,219000,С пробегом,Бензин + газ,Да,Автомат,2023-03-08 18:35:00,Пенджикент,32000,64,https://somon.tj/adv/9579378_chevrolet-lacetti-2005/,мошин дар холати хуби техники карор дорад матори зафира 1.8 нав мондаги як рангу кузовной кор дорад тамом бехуда занг назанетон кати мерс или опел алиш мешад,2005,Chevrolet,Lacetti
7,"Chevrolet Matiz, 2007",11399,Хэтчбек,2007,Чёрный,Передний,0.8,111111,С пробегом,Бензин,Да,Механика,2023-03-08 18:33:00,Худжанд,37999,23,https://somon.tj/adv/9579369_chevrolet-matiz-2007/,вагон,2007,Chevrolet,Matiz
8,"Chevrolet Sonic, 2018",26100,Седан,2018,Серебристый,Передний,1.8,123456,С пробегом,Бензин + газ,Да,Автомат,2023-03-08 18:33:00,Душанбе,87000,19,https://somon.tj/adv/9579365_chevrolet-sonic-2018/,"Chevrolet sonic Amerika 2018 Срочно
Стар стоп 
Патроник манитор задний камера заводской
обогрев рул
Датчик паласа 
Документош нав 1 сола
4 балони нав
Кароче мошин фулай 
Камтар кор дора занг зане мефахмонем
Илтимос одамои конкретни харидоро занг занан мошин дар ширкати 3333 кор кадест 
Алиш намеша",2018,Chevrolet,Sonic
9,"Daewoo Damas, 2005",12600,Седан,2005,Другой цвет,Передний,0.8,0,С пробегом,Газ,Да,Механика,2023-03-05 17:45:00,Спитамен,42000,288,https://somon.tj/adv/9562983_daewoo-damas-2005/,100%,2005,Daewoo,Damas
10,"Daewoo Lanos, 1998",0,Хэтчбек,1998,Голубой,Передний,1.6,32456,С пробегом,Бензин + газ,Да,Механика,2023-03-08 18:41:00,Файзабад,22500,37,https://somon.tj/adv/9579418_daewoo-lanos-1998/,Мошин яксола хучат дорад кондисионер дорад хадавой 70ф балонош 70ф матор 100ф регион душанбе дар сентри файзобод карор дорад муомила дорад дар назди мошин срочно,1998,Daewoo,Lanos
11,"Daewoo Nexia, 1995",0,Седан,1995,Серебристый,Передний,1.6,193625,С пробегом,Бензин + газ,Да,Механика,2023-03-08 18:49:00,Душанбе,21000,44,https://somon.tj/adv/9579452_daewoo-nexia-1995/,дар холати бехтарин карор дорад 4 балон нав дакмент 1 сол матор 100% харидор ай пеши чак чак мекнем,1995,Daewoo,Nexia
12,"Daewoo Nexia, 1996",0,Седан,1996,Белый,Полный,1.6,0,С пробегом,Бензин + газ,Да,Механика,2023-03-08 18:36:00,Пяндж,15000,33,https://somon.tj/adv/9579388_daewoo-nexia-1996/,нарх ахиршай,1996,Daewoo,Nexia
13,"Daewoo Nexia, 1997",0,Седан,1997,Зелёный,Передний,1.6,15524,С пробегом,Бензин + газ,Да,Механика,2023-03-08 18:41:00,Вахдат,17000,30,https://somon.tj/adv/9579413_daewoo-nexia-1997/,Срочна срочна документ яксола нав кадм 4 балон пачка краска соз срочна срочна,1997,Daewoo,Nexia
14,"Hyundai Avante, 2007",22500,Седан,2007,Серебристый,Передний,1.6,149600,С пробегом,Бензин,Да,Автомат,2023-03-08 18:29:00,Душанбе,75000,21,https://somon.tj/adv/9579307_hyundai-avante-2007/,Мошин дар холати хуб карор дорад прям мошина мечти ранги асп медава ягон дефект надора салон чоткаай если чё бо торг АСТ,2007,Hyundai,Avante
15,"Hyundai Elantra, 2018",37800,Седан,2018,Мокрый асфальт,Передний,2.0,10000,Новая,Бензин + газ,Да,Автомат,2023-03-08 18:51:00,Душанбе,126000,24,https://somon.tj/adv/9579408_hyundai-elantra-2018/,моши дар холати хуб карор дорад,2018,Hyundai,Elantra
16,"Hyundai Grandeur, 2013",37500,Седан,2013,Белый,Передний,3.0,120000,С пробегом,Газ,Да,Автомат,2023-03-08 18:35:00,Душанбе,125000,47,https://somon.tj/adv/9579377_hyundai-grandeur-2013/,Машина в идеальном состоянии савдо мешава,2013,Hyundai,Grandeur
17,"Hyundai H-1, 2008",25500,Фургон,2008,Белый,Задний,2.5,234567,С пробегом,Дизель,Да,Механика,2023-03-08 18:28:00,Худжанд,85000,95,https://somon.tj/adv/9579341_hyundai-h-1-2008/,Матор и коробка 100% гарантия,2008,Hyundai,H-1
18,"Kia Sportage, 2017",58500,Внедорожник,2017,Оранжевый,Полный,2.0,94000,С пробегом,Бензин,Да,Автомат,2023-03-08 18:57:00,Душанбе,195000,7,https://somon.tj/adv/9579472_kia-sportage-2017/,"Мошин нав омадагияй вагон.
Дар холати хуби хуб карор дорад.
Занг занен арзон мешавад.",2017,Kia,Sportage
19,"Lexus ES series, 2016",0,Седан,2016,Чёрный,Передний,3.0,123000,С пробегом,Гибрид,Да,Автомат,2023-03-08 18:30:00,Душанбе,350000,17,https://somon.tj/adv/9579300_lexus-es-series-2016/,"Машина новая, ВАГОН
ТОЛЬКО ЧТО ПРИЕХАЛА 
Мотор и коробка 100% 
БЕЗ ОБМЕНА
ВОЗМОЖЕН МАЛЫЙ ТОРГ",2016,Lexus,ES series
20,"Lexus GS series, 2007",29100,Седан,2007,Серебристый,Передний,3.5,19500,С пробегом,Бензин,Да,Автомат,2023-03-08 18:34:00,Худжанд,97000,39,https://somon.tj/adv/9579372_lexus-gs-series-2007/,сахт зур тоза мошин бе ягон камбуди хама наваротош хай мошин фули фул хай,2007,Lexus,GS series
21,"Lexus RX series, 2007",40500,Кроссовер,2007,Чёрный,Полный,3.5,0,С пробегом,Бензин,Да,Автомат,2023-03-08 18:45:00,Душанбе,135000,19,https://somon.tj/adv/9579432_lexus-rx-series-2007/,мошин дар холати нагз карор дорад савдо меша сурочна.сурочна 2007 тоза,2007,Lexus,RX series
22,"Lexus RX series, 2008",0,Кроссовер,2008,Белый,Полный,3.5,147652,С пробегом,Бензин + газ,Да,Автомат,2023-03-08 18:49:00,Канибадам,165000,16,https://somon.tj/adv/9419445_lexus-rx-series-2008/,В хороше состоянии,2008,Lexus,RX series
23,"Lexus RX series, 2009",49500,Кроссовер,2009,Белый,Полный,3.5,12345,С пробегом,Бензин,Да,Автомат,2023-03-08 18:39:00,Душанбе,165000,68,https://somon.tj/adv/9579402_lexus-rx-series-2009/,Вагон Мошин тозаи нозада матор каробка хадавой 100% 4вд бе камбуди любой проверка таер,2009,Lexus,RX series
24,"Lexus RX series, 2014",0,Хэтчбек,2014,Белый,Полный,3.5,1,Новая,Бензин,Да,Автомат,2023-03-08 18:40:00,Душанбе,246000,67,https://somon.tj/adv/9579414_lexus-rx-series-2014/,мошин дар холати хуби техники карор дорад мошин ВАГОН НАВОМАД МАТОР КАРОПКА ХАДАВОИ 100% 4БАЛОН НАВ ТОЗАИ ЗУРАИ АМЕРИКА7,2014,Lexus,RX series
25,"Lexus RX series, 2015",0,Кроссовер,2015,Белый,Передний,3.5,52000,Новая,Бензин,Да,Автомат,2023-03-08 18:37:00,Душанбе,289000,17,https://somon.tj/adv/9540851_lexus-rx-series-2015/,"срочно срочно срочно 
камтарак арзон мешава
ягом мошини арзонам боша алиш мешава
ягом камбуди надора мегири факат хаи мекни
конкретный харидор занг зан",2015,Lexus,RX series
26,"Mercedes-Benz C class, 1999",17700,Седан,1999,Другой цвет,Задний,1.8,167000,С пробегом,Бензин,Да,Механика,2023-03-08 18:45:00,Душанбе,59000,92,https://somon.tj/adv/9574860_mercedes-benz-c-class-1999/,Срочно срочно сум даркорай матор каробка хадавой кадицанер печка 100 фоиз ягон камбуди надора задаги пусидаги варит надора климат кантрол ASR ЭЛЕГАНТ,1999,Mercedes-Benz,C class
27,"Mercedes-Benz E class, 2000",0,Седан,2000,Другой цвет,Задний,2.8,1,С пробегом,Бензин,Да,Автомат,2023-03-08 18:47:00,Душанбе,87000,473,https://somon.tj/adv/9504179_mercedes-benz-e-class-2000/,"як сола хучат тонировкк 4 балон нав 
пленкаи 7 хазор сомона кашидагиай
мошин бе ягон камбуди",2000,Mercedes-Benz,E class
28,"Mercedes-Benz E class, 2008",25800,Седан,2008,Чёрный,Задний,3.5,2580,Новая,Бензин,Да,Автомат,2023-03-08 18:32:00,Душанбе,86000,198,https://somon.tj/adv/9579357_mercedes-benz-e-class-2008/,Срочна мошин дар холати хуб карор дорад,2008,Mercedes-Benz,E class
29,"Mercedes-Benz W124, 1989",8400,Седан,1989,Другой цвет,Задний,2.5,123456,С пробегом,Дизель,Да,Механика,2023-03-08 18:50:00,Худжанд,28000,43,https://somon.tj/adv/9579455_mercedes-benz-w124-1989/,харидори аник бошид тил кунед,1989,Mercedes-Benz,W124
30,"Mitsubishi Pajero, 2008",25500,Седан,2008,Серебристый,Передний,2.5,252004,С пробегом,Дизель,Да,Автомат,2023-03-08 18:43:00,Худжанд,85000,122,https://somon.tj/adv/9572533_mitsubishi-pajero-2008/,В хорошом состоянии техосмотр то феврал 24,2008,Mitsubishi,Pajero
31,"Nissan Cefiro, 1997",7800,Седан,1997,Белый,Задний,2.0,233544,Новая,Бензин + газ,Да,Автомат,2023-03-08 18:30:00,Душанбе,26000,27,https://somon.tj/adv/9579350_nissan-cefiro-1997/,мошин дар холати хуби техники карор дора яг сола хучат газу бензин матор нав харидори аник занг зана,1997,Nissan,Cefiro
32,"Opel Astra F, 1993",0,Седан,1993,Синий,Передний,1.6,0,С пробегом,Бензин + газ,Да,Механика,2023-03-08 18:44:00,Душанбе,14000,138,https://somon.tj/adv/9579428_opel-astra-f-1993/,Мошин  на ходу  камтар кор дора  дуд мекна  парок  камакак пусидаги дора тамом  нархи охируш хамин   арзон намешад конкретни харидор занг зана..,1993,Opel,Astra F
33,"Opel Astra F, 1995",8400,Универсал,1995,Зелёный,Передний,1.6,12345,С пробегом,Бензин + газ,Да,Механика,2023-03-08 18:52:00,Абдурахмони Джоми,28000,24,https://somon.tj/adv/9579324_opel-astra-f-1995/,срочно срочно мефурушам мошин дархолати хуб карор дорад факат харидори аник занг занад,1995,Opel,Astra F
34,"Opel Astra F, 1996",12900,Универсал,1996,Зелёный,Передний,1.6,123456,Новая,Бензин + газ,Да,Механика,2023-03-08 18:36:00,Худжанд,43000,25,https://somon.tj/adv/9376255_opel-astra-f-1996/,Салом бародаро мошин холаташ зур кам кам баданашанда корча хай расмба малум матор зур хадавой зур чашкахош варит не пешу пушт задаги не гарантия факат харидори аник занг занад илтимос.,1996,Opel,Astra F
35,"Opel Astra F, 1997",10500,Хэтчбек,1997,Золотистый,Передний,1.6,12345,С пробегом,Бензин + газ,Да,Механика,2023-03-08 18:47:00,Душанбе,35000,10,https://somon.tj/adv/9579442_opel-astra-f-1997/,Як сола хучат кандисанер моторчик вайронай балоно 70% матор коробка созай,1997,Opel,Astra F
36,"Opel Astra G, 1998",13800,Хэтчбек,1998,Серебристый,Передний,1.8,123456,С пробегом,Бензин,Да,Автомат,2023-03-08 19:02:00,Худжанд,46000,15,https://somon.tj/adv/9557104_opel-astra-g-1998/,"OPEL ASTRA G СОЛ 1998
Мошин як даст бади вагон матор 1.8 экотек бинзин газа надидас матор каробка 100 фоиз матор зинда 4шт балон нав мошин элеганс кузов задаги не айбаш якта лаки капот паридаги",1998,Opel,Astra G
37,"Opel Astra G, 1999",17400,Универсал,1999,Голубой,Передний,1.6,0,Новая,Бензин,Да,Механика,2023-03-08 18:42:00,Душанбе,58000,24,https://somon.tj/adv/9579423_opel-astra-g-1999/,мошин дар холати хуб карор дорад хучат дора,1999,Opel,Astra G
38,"Opel Astra H, 2007",23100,Универсал,2007,Другой цвет,Передний,1.6,0,С пробегом,Бензин,Да,Механика,2023-03-08 18:53:00,Худжанд,77000,20,https://somon.tj/adv/9497075_opel-astra-h-2007/,"Вагон недавно превезли из  Германии .Машина в хорошем состоянии ,мотор без Vanos,стекла нетонированые ,Twinport 1.6  цвет блур .Торг после осмотра автомобиля .
Убедительняя просьба по пустякам незвонить",2007,Opel,Astra H
39,"Opel Astra J, 2001",19500,Универсал,2001,Серебристый,Передний,1.6,0,С пробегом,Бензин + газ,Да,Механика,2023-03-08 18:43:00,Худжанд,65000,55,https://somon.tj/adv/9579383_opel-astra-j-2001/,мошин 100% ягон айб надора 4балонш навай бо занг бзанен чак чак мекнем,2001,Opel,Astra J
40,"Opel Vectra B, 2000",0,Хэтчбек,2000,Зелёный,Передний,1.6,0,Новая,Бензин + газ,Да,Механика,2023-03-08 18:38:00,Восе,28000,50,https://somon.tj/adv/9287900_opel-vectra-b-1997/,"Салом малекм Бародар..

    Дутичаи спартивни 97сол
1. Радной краскаи хдшай
2. 11 мохи ровна хучат дора
3. Газ Бензин кор мекна
4. Хадавой 100  нав
5. Матор 100 расход надора
6. Каробка 100 бе праблема
5. Балоно 40%
6. Диско вагони  нав харчорш
7. Чихоли скаменка рул тарпеда полико хамаш нав харида мондам
8. Люк дора кор мекна
9.  Ду дари пеш электрони 
10. Матор прастой
11. Пусидаги задаги умуман надора
12. Хамаи приборо  кор мекна 
13. Печка писта аловай.
14. Аком пачка
15. Запаска+ключ дора..
16. Полш линоним кашидаги
17. Паталокш матирали нав кашидпги + абшивко поенош кожа.

Мошин тока краска кор дора ба хотири абемниш кадам . радной краскаи хдшай бие бин кузф тозахай нархо тугри гира краскашам мекнм..",2000,Opel,Vectra B
41,"Opel Zafira, 1999",10800,Седан,1999,Серебристый,Передний,1.6,1111,С пробегом,Бензин + газ,Да,Механика,2023-03-08 18:32:00,Душанбе,36000,116,https://somon.tj/adv/9579364_opel-zafira-1999/,мошин ядастаай  газ евра 4 матор 16 16 дар холати хубай срочно сум даркорай нархи охиршай чои чангшай илтимос арзон мекадагие гам натен мошинча хубай,1999,Opel,Zafira
42,"Opel Zafira, 2000",18000,Универсал,2000,Другой цвет,Передний,1.8,0,Новая,Бензин + газ,Да,Механика,2023-03-08 18:36:00,Душанбе,60000,27,https://somon.tj/adv/9560234_opel-zafira-2000/,"салом мошин дар холати хуби хуб карор дорад.
задаги надорад хамаша айнав иваз кардем мешини факат хае мекунен.",2000,Opel,Zafira
43,"Opel Zafira, 2007",0,Фургон,2007,Другой цвет,Передний,1.6,160520,Новая,Бензин + газ,Да,Механика,2023-03-08 18:58:00,Исфара,73000,37,https://somon.tj/adv/9579494_opel-zafira-2007/,мошин дар холати хуб.документ 1сол танировка 1 сол . газ еро 5.,2007,Opel,Zafira
44,"Toyota Avensis Verso, 2006",24000,Универсал,2006,Чёрный,Передний,2.2,0,С пробегом,Дизель,Да,Механика,2023-03-08 18:52:00,Бохтар (Курган-Тюбе),80000,17,https://somon.tj/adv/9579223_toyota-avensis-verso-2006/,мошин нав омадаги растамочка шидаги свежияй харидори аник боша занг зана маслихат мекнем срочнияй,2006,Toyota,Avensis Verso
45,"Toyota Avensis, 2007",0,Универсал,2007,Синий,Передний,1.8,0,С пробегом,Бензин,Да,Механика,2023-03-08 18:58:00,Шахритус,90000,29,https://somon.tj/adv/9579483_toyota-avensis-2007/,расходы 8 л,2007,Toyota,Avensis
46,"Toyota Camry, 2008",34500,Седан,2008,Серебристый,Передний,2.4,107000,С пробегом,Бензин,Да,Автомат,2023-03-08 19:01:00,Душанбе,115000,4,https://somon.tj/adv/9547363_toyota-camry-2008/,мошин нав ай вагон фаромад 03.03.23 дар ҳолатӣ беҳтарин карор дорад мулти руль подогрев сиденья  люк 4 балони нав аккумулятор нав фақат номер мегири хай мекни бо муомилаи хуб дорад бародаро срочно сум даркорай,2008,Toyota,Camry
47,"Toyota Camry, 2009",35400,Седан,2009,Мокрый асфальт,Передний,2.4,132000,С пробегом,Бензин,Да,Автомат,2023-03-08 18:39:00,Душанбе,118000,63,https://somon.tj/adv/9579338_toyota-camry-2009/,Камри 2 Ска тоза вагон 20 руз шид омаданша ягон камбуди надора,2009,Toyota,Camry
48,"Toyota Camry, 2010",42600,Седан,2010,Белый,Передний,3.5,0,Новая,Бензин,Да,Автомат,2023-03-08 18:37:00,Душанбе,142000,43,https://somon.tj/adv/9470550_toyota-camry-2010/,срочно срочно срочно,2010,Toyota,Camry
49,"Toyota Camry, 2015",73500,Седан,2015,Чёрный,Передний,2.5,0,Новая,Бензин,Да,Автомат,2023-03-08 18:36:00,Душанбе,245000,32,https://somon.tj/adv/9556253_toyota-camry-2015/,"срочно 
4 балон нав
1сола хучат тонировка",2015,Toyota,Camry
50,"Toyota Corolla, 2012",39900,Седан,2012,Серебристый,Полный,1.8,130000,С пробегом,Бензин,Да,Автомат,2023-03-08 11:56:00,Душанбе,133000,72,https://somon.tj/adv/9427155_toyota-corolla-2012/,"ИВАЗ НАМЕШАВА ТАНХО ФУРУШИ!!!!
Toyota corolla LE 2012 Америка Вагон нав омад состояние хороший 
Мотор 1,8",2012,Toyota,Corolla
51,"Toyota Fielder, 2006",27000,Универсал,2006,Белый,Передний,1.8,0,С пробегом,Бензин,Да,Автомат,2023-03-08 18:52:00,Бохтар (Курган-Тюбе),90000,11,https://somon.tj/adv/9263760_toyota-fielder-2006/,состояние созай проблема надора,2006,Toyota,Fielder
52,"Toyota Fielder, 2007",29250,Универсал,2007,Белый,Передний,1.8,10000,С пробегом,Бензин,Нет,Автомат,2023-03-08 19:00:00,Душанбе,97500,10,https://somon.tj/adv/9380030_toyota-fielder-2007/,филдер состояние отличное вагон душанбеда расидагия,2007,Toyota,Fielder
53,"Toyota Venza, 2015",0,Кроссовер,2015,Коричневый,Полный,2.7,136000,С пробегом,Бензин,Да,Автомат,2023-03-05 17:56:00,Душанбе,255000,8626,https://somon.tj/adv/8911062_toyota-venza-2015/,"Машина находится в отличном состояние. Европа, документы и тонировка до сентября 2023 года. Салон Лексус, мотор прадо 2.7,кожа, обогрев,передних сидений.",2015,Toyota,Venza
54,"Volkswagen ID.6, 2022",0,Кроссовер,2022,Другой цвет,Передний,2.0,300,Новая,Электричество,Да,Автомат,2023-03-08 18:30:00,Душанбе,440000,17,https://somon.tj/adv/9579347_volkswagen-id-6-2022/,электромобиль,2022,Volkswagen,ID.6
55,"Volkswagen Passat, 2003",8100,Седан,2003,Другой цвет,Передний,2.0,0,С пробегом,Бензин + газ,Да,Автомат,2023-03-07 09:44:00,Душанбе,27000,417,https://somon.tj/adv/9571379_volkswagen-passat-2003/,Мошин 100% на ходу мерава газ евро4 усто додем чои шпакилевка кадагиш бояд краска мекард ахмак Кард сум даркорай срочно,2003,Volkswagen,Passat
56,"ВАЗ 2107, 2000",0,Седан,2000,Бежевый,Задний,0.6,0,С пробегом,Бензин,Да,Механика,2023-03-08 18:32:00,Вахдат,14000,33,https://somon.tj/adv/9579359_vaz-2107-2000/,мошин дар холати хуби техники карор дорад хучатош факат буд шидагиай,2000,ВАЗ,2107
57,"ВАЗ 2107, 2006",0,Седан,2006,Белый,Задний,1.7,0,С пробегом,Бензин + газ,Да,Механика,2023-03-08 18:35:00,Душанбе,19500,28,https://somon.tj/adv/9579381_vaz-2107-2006/,салом бародарои харидор занг зана илтимос срочно пул даркорай масква рахкиюм мошин дар холати хуб карор дооад краска радной пусидаги надора мошин ачоиботай хучат тамом шдай бо муомилаи хуб дора,2006,ВАЗ,2107
58,"ВАЗ 2110, 2001",0,Седан,2001,Белый,Передний,1.6,123456,С пробегом,Бензин,Да,Механика,2023-03-07 19:10:00,Душанбе,13500,502,https://somon.tj/adv/9572072_vaz-2110-2001/,матор инжектор мошин дар холати хуб карор дора матор звер акилматор нав  гупкават кадаги дискачои 15 профил салон полни кожа канкредни харидоро занг зана срочно,2001,ВАЗ,2110
59,"ВАЗ 2110, 2006",0,Седан,2006,Синий,Задний,1.6,90000,Новая,Газ,Да,Механика,2023-03-08 18:52:00,Худжанд,10000,113,https://somon.tj/adv/9579466_vaz-2110-2006/,Срочно фрахта мешавад савдо  дар назди машин бо арзон  мешавад  н.Айни:д.Зерободчон,2006,ВАЗ,2110
60,"ВАЗ 2110, 2012",9900,Седан,2012,Белый,Передний,1.6,16220,С пробегом,Бензин,Да,Механика,2023-03-08 12:00:00,Душанбе,33000,138,https://somon.tj/adv/9577348_vaz-2110-2012/,Мошин дархолати хуб  дакумент дора,2012,ВАЗ,2110
61,"ВАЗ Priora, 2009",9900,Седан,2009,Чёрный,Передний,1.7,12345,С пробегом,Бензин,Да,Механика,2023-03-08 18:50:00,Душанбе,33000,73,https://somon.tj/adv/9579457_vaz-priora-2009/,Мошин да холати хуби техники карор дорад срочно сум даркор бо савдо меша ягончи да пеши мошин,2009,ВАЗ,Priora
62,"BMW 3 series, 2013",55500,Седан,2013,Чёрный,Задний,2.0,192000,С пробегом,Бензин,Нет,Автомат,2023-03-08 18:10:00,Душанбе,185000,29,https://somon.tj/adv/9533988_bmw-3-series-2013/,Мошин нав дуромад ягон канбуди надора нозада мошин любойчи дора М пакет тоза балона нав винкодуш хаст проверка кнен,2013,BMW,3 series
63,"BMW 5 series, 2018",0,Седан,2018,Мокрый асфальт,Полный,2.0,88094,С пробегом,Дизель,Да,Автомат,2023-03-08 18:18:00,Худжанд,469000,33,https://somon.tj/adv/9508290_bmw-5-series-2018/,"МОШИН ВАГОН 
BMW 520d XDrive M_PAKET
Полный Наворот FULL OPTION 
5-Камера 
Дистроник 
Голограмма 
4-Сидения Обогрев+Охлаждения 
Обогрев Руль 
Липисток Руль 
Сидения Ромбик
Стеклянный Люк 
Черный Потолок 
Отпечаток Пальцев 
AdBlue
Полоса Знак 
Режим SPORT_COMFORT_ECO PRO
2х Зоный Климат Контроль Сенсорный 
Багажник Открывается С Ногой 
Калит Планшет !!!",2018,BMW,5 series
64,"BMW X5, 2011",60000,Кроссовер,2011,Чёрный,Полный,3.0,0,Новая,Дизель,Да,Автомат,2023-03-08 18:18:00,Душанбе,200000,15,https://somon.tj/adv/9438211_bmw-x5-m-2011/,"Мошин дар холати Бехтарин карор дорад, мархамат биеед аз назди бинед.",2011,BMW,X5
65,"BMW X5, 2019",0,Внедорожник,2019,Белый,Полный,3.0,86000,С пробегом,Дизель,Да,Автомат,2023-03-08 18:05:00,Душанбе,780000,68,https://somon.tj/adv/9579224_bmw-x5-2019/,"1 мох шид оварданша, вагон
Хучат 1 сола",2019,BMW,X5
66,"BYD E2, 2022",0,Хэтчбек,2022,Белый,Передний,1.6,300,Новая,Электричество,Да,Автомат,2023-03-08 18:08:00,Душанбе,265000,19,https://somon.tj/adv/9579225_byd-e2-2022/,электромобиль,2022,BYD,E2
67,"BYD Qin, 2022",0,Седан,2022,Белый,Передний,1.6,300,Новая,Электричество,Да,Автомат,2023-03-08 18:23:00,Душанбе,290000,20,https://somon.tj/adv/9579310_byd-qin-2022/,электромобиль,2022,BYD,Qin
68,"BYD Song Plus Flagship, 2022",0,Кроссовер,2022,Белый,Передний,3.0,0,Новая,Электричество,Да,Автомат,2023-03-08 11:42:00,Худжанд,395000,111,https://somon.tj/adv/8774429_legkovye-avtomobili-drugie-marki-2022/,"Машина в наличии!

BYD Song Plus Flagship
Полная комплектация

Запас хода: 510км 

Цвет: Белый

Аккумуляторная батарея BYD Blade Battery

Мощность: 184 л.с.",2022,BYD,Song Plus Flagship
69,"Chevrolet Aveo, 2007",16500,Седан,2007,Серебристый,Передний,1.4,164000,С пробегом,Бензин,Да,Механика,2023-03-08 01:06:00,Душанбе,55000,114,https://somon.tj/adv/9575890_chevrolet-aveo-2007/,"Ассалому Алейкум 
Chevrolet Aveo 
хороший состояние,
 очень экономичная
 6,5 литра по городу. 
Машина из Финляндии 
будет течение две недели в Таджикистане, желающие могут позвонить и договориться, также в комплектации 
Кондиционер 
электро зеркала 
стеклоподъемники,",2007,Chevrolet,Aveo
70,"Chevrolet Matiz, 2007",11850,Хэтчбек,2007,Серебристый,Передний,0.8,0,С пробегом,Бензин,Да,Механика,2023-03-08 18:01:00,Худжанд,39500,47,https://somon.tj/adv/9441922_chevrolet-matiz-2006/,"CHEVROLET Matiz cол 2007
матор каропка 200%
задаги тостаги чош 
нес масали устағон 200%
кандисанераш кор мекунад
яхча як сола ҳуччат 
мошинча 200%",2007,Chevrolet,Matiz
71,"Daewoo Lanos, 1998",0,Хэтчбек,1998,Голубой,Передний,1.6,322891,С пробегом,Бензин + газ,Да,Механика,2023-03-08 18:12:00,Файзабад,22000,3,https://somon.tj/adv/9579251_daewoo-lanos-1998/,Мошин яксола хучат дорад хадавой 70ф балонош 70ф матор 100ф кондисонер дорад региони душанбе дар сентри нохияи файзобод карор дорад муомила камтар мешавад камкам меличофка дорад срочно,1998,Daewoo,Lanos
72,"Daewoo Nexia, 1996",8100,Седан,1996,Красный,Передний,1.6,200001,Новая,Бензин,Да,Механика,2023-03-07 16:53:00,Душанбе,27000,281,https://somon.tj/adv/9397194_daewoo-nexia-1996/,матор астра чи хадавойш кати полни опели мошин ягон камбуди надора дакумент 3 мохи дига одамой 4...5 хазор арзон мекадагит илтимос занг назан,1996,Daewoo,Nexia
73,"Genesis gv80, 2020",0,Кроссовер,2020,Белый,Полный,3.0,86000,С пробегом,Дизель,Да,Автомат,2023-03-08 18:25:00,Душанбе,655000,609,https://somon.tj/adv/9562033_legkovye-avtomobili-drugie-marki-2020/,"Genesis gv80 
Машина в идеальном состоянии
Камера 360гр
Все расходныки заменены",2020,Genesis,gv80
74,"Hyundai Elantra, 2017",34500,Седан,2017,Голубой,Передний,2.0,0,С пробегом,Бензин,Да,Автомат,2023-03-08 18:02:00,Душанбе,115000,70,https://somon.tj/adv/9579206_hyundai-elantra-2017/,срочно мошин дардш 2 вануси матор алиш мекни тамом документы яксола хамаичош тинчай алиш намешава монитори калон камера дора илтимос харидори конкретно занг бзана,2017,Hyundai,Elantra
